,questions,documents,answers,explanations
24,Kann Extrakt aus dem Johanniskraut die Beschwerden einer Depression lindern? Ist es ähnlich wirksam wie Medikamente gegen Depression (Antidepressiva)?,"Bei leichter bis mittelschwerer Depression wirken Johanniskraut-Präparate wahrscheinlich besser als ein Placebo. Johanniskraut-Präparate wirken dabei wahrscheinlich ähnlich gut wie Antidepressiva. Johanniskraut und Antidepressiva können die Beschwerden zwar lindern, die Depression endgültig heilen können beide Mittel allerdings vermutlich nicht. Johanniskraut und Antidepressiva können die Beschwerden zwar lindern, die Depression endgültig heilen können beide Mittel allerdings vermutlich nicht.",yes,Johanniskraut kann die Symptome einer leichten bis mittelschweren Depression wahrscheinlich besser lindern als ein Scheinpräparat (Placebo). Es scheint auch ähnlich wirksam zu sein wie zugelassene Medikamente gegen Depression (Antidepressiva). Die Johanniskraut-Präparate werden im Allgemeinen besser vertragen als Antidepressiva.
25,"Stärkt das Armband von Zisano das Immunsystem, erhöht es die Ausdauer und Leistungsfähigkeit oder verringert es Müdigkeit?","Ob solche Armbänder einen Effekt haben, ob sie beispielsweise tatsächlich die körperliche Leistung steigern oder das Immunsystem stärken können, wurde offenbar nie untersucht. Armbänder für mehr Leistung: Studien zeigen Wirkungslosigkeit  Alle fünf Studien kamen zu demselben Ergebnis: Die Armbänder hatten keine Auswirkung auf die Leistungsfähigkeit oder das Wohlbefinden der Versuchspersonen. Eine wissenschaftlich plausible Erklärung, wie genau solche Armbänder ihre Wirkung entfalten sollen, bleiben deren Anbieter schuldig. Die Studien im Detail   Wir konnten keine Studien zum Zisano-Armband oder vergleichbaren Armbändern mit Silizium-Chip finden.",unknown,"Die versprochenen positiven Effekte des „Powerband“-Armbandes auf die Gesundheit und das Wohlbefinden wurden wissenschaftlich offenbar nicht untersucht. Wir konnten keine Studien dazu finden. Auch wie das Armband konkret wirken soll, ist unklar. Eine wissenschaftlich plausible Erklärung dafür fehlt."
26,"Verbessert die Mikroimmuntherapie Beschwerden bei Allergien, Krebs, Gelenksentzündungen, Autoimmunkrankheiten, Demenz oder verschiedenen Virus-Infektionen?","Aussagekräftig ist keine dieser Studien – denn sie sind mangelhaft durchgeführt und die veröffentlichten Daten sind unvollständig. Hinweise auf einen Nutzen der Mikroimmuntherapie können sie keine geben. Berechtigte Zweifel  Da Mikroimmuntherapie-Präparate alshomöopathische Mittel sehr stark verdünnt sind, haben wir grundlegende Zweifel an der Methode.",unknown,"Studien scheint es bisher nur zu Mikroimmuntherapie gegen Heuschnupfen und Krebs zu geben. Ihre Aussagekraft ist viel zu gering, um auf eine Wirksamkeit der Therapie schließen zu können. Zu anderen Gesundheitsproblemen fanden wir keine Studien. Einen belegten Nutzen der Mikroimmuntherapie gibt es also für keine einzige Erkrankung."
27,Kann Ginkgo-Extrakt die geistige Leistung von Demenzkranken verbessern?,"Demenz-Betroffene, die Ginkgo-Extrakt einnahmen, schienen bei Denk-, Gedächtnis- und Konzentrationsaufgaben oft besser abzuschneiden als jene, die Placebo-Präparate ohne Wirkstoff schluckten [1,3] . Die Studien weisen zwar darauf hin, dass Ginkgo-Extrakt Demenz-Betroffenen helfen kann, doch die Aussagekraft der einzelnen Studien ist eingeschränkt.",yes,"Bisherige Studien deuten darauf hin, dass Ginkgo-Extrakt die geistige Leistung bei Demenz verbessern kann – das ist jedoch nicht gut abgesichert. Wie groß dieser Effekt ist, lässt sich nicht genau sagen."
28,Verbessert Zirbenholz den Schlaf?,"Es gibt also keinen Hinweis, dass das Holz der Zirbe den Schlaf verbessert. Welche Bedeutung diese Labor-Messwerte für den Schlaf der Teilnehmenden haben, ist unklar – auch wenn die Forschenden sie als positive Auswirkungen des Zirbenbetts interpretieren. Ob ein Zirbenbett tatsächlich den Schlaf verbessert, müssten in Zukunft strenger nach wissenschaftlichen Kriterien durchgeführte Studien an deutlich mehr Testpersonen untersuchen.Die Studien im Detail   [1,2] Grote u.a.",unknown,Diese Fragestellung hat bisher nur eine einzige kleine Studie untersucht. Deren Ergebnisse sind jedoch aufgrund zahlreicher Mängel bei der Studiendurchführung ohne Aussagekraft.
29,Verringern Nahrungsergänzungsmittel mit Spermidin oder eine Spermidin-reiche Ernährung das Risiko für Alzheimer und andere Formen von Demenz? Helfen sie bei bereits vorhandener Demenz?,"Studien zu Spermidin: nicht genug als Wirksamkeits-Beleg  Selbst wenn beide Studien zu überwältigend positiven Ergebnissen gekommen wären, hätten wir dennoch Bedenken zu ihrer Aussagekraft. Wie und ob zusätzlich über die Nahrung aufgenommenes Spermidin wirkt, ist wissenschaftlich derzeit nicht ausreichend erforscht. Die Teilnehmenden-Anzahl ist gering und das Risiko ist hoch, dass die Ergebnisse nicht auf die Realität umlegbar sind. Wir schätzen die Studie als nicht aussagekräftig ein. Ergebnisse: Sowohl die Spermidin-Gruppe als auch die Vergleichsgruppe hatten am Ende der Studie weniger Demenz-Symptome und eine bessere geistige Leistungsfähigkeit.",unknown,"Hersteller von Spermidin-Mitteln werben mit einer angeblichen positiven Wirkung auf die geistige Leistungsfähigkeit und Schutz vor Demenz. Eine solche Wirkung wurde allerdings nicht in aussagekräftigen Studien nachgewiesen. Wir fanden eine einzige Studie, an der Demenz-Patientinnen und -Patienten teilgenommen hatten. Ihre Ergebnisse sind allerdings wenig eindeutig."
30,Verbessern Präparate aus Grünlippmuschel die Beschwerden bei rheumatoider Arthritis?,"Für uns ist diese Behauptung deshalb wenig glaubwürdig. Ob Grünlippmuschel bei Rheuma hilft oder nicht, lässt sich daher im Moment nicht sicher sagen. Ob sich die Ergebnisse auf andere Produkte oder andere Dosierungen übertragen lassen, ist unklar. Die Studien sind allesamt nach heutigem Standard schlecht gemacht: So ist es unklar, wie verlässlich die Messungen des Behandlungserfolgs sind. Ob Rheuma-Patientinnen und -Patienten dann noch von Grünlippmuschel-Präparaten profitieren würden, bleibt unklar.",unknown,Fünf kleine Studien liefern insgesamt keine Hinweise auf einen Nutzen der Grünlippmuschel bei Rheuma. Die Rheuma-Behandlung der Teilnehmenden entspricht jedoch nicht den heutigen Standards und die Studien waren sehr mangelhaft durchgeführt. Deshalb können wir aus diesen Studien keine verlässlichen Schlüsse ziehen.
31,"Verringert die Covid-Impfung die Wahrscheinlichkeit, im Fall einer Corona-Infektion langanhaltende Beschwerden (Long Covid) zu bekommen?","Long-Covid-Risiko mit Impfung geringer  Zwei Studien [1,2] deuten darauf hin, dass das Long-Covid-Risiko geringer sein dürfte, wenn man zweimal geimpft ist:  In einer dieser Studien mit Corona-Infizierten [1] gaben zweifach Geimpfte im Vergleich zu Nicht-Geimpften um 40 bis 50 Prozent seltener an, von Long Covid betroffen zu sein. Ergebnisse Zweifach Geimpfte gaben nur etwa halb so häufig an, von Long-Covid-Symptomen betroffen zu sein wie Nicht-Geimpfte.",yes,"Infizieren sich zweifach Geimpfte, ist ihr Risiko später von Long Covid betroffen zu sein möglicherweise nur halb so groß wie das von Nicht-Geimpften. Da es keine klare Definition von Long Covid gibt, lässt sich der Schutzeffekt nicht genau beziffern."
32,"Kann die vorbeugende Einnahme von Lysin Fieberblasen (Lippenherpes) und Genitalherpes verhindern? Kann Lysin helfen, wenn die Bläschen schon da sind?","Sie können weder beantworten, ob vorbeugend eingenommenes Lysin Herpes verhindern kann, noch ob es hilft, wenn die Bläschen schon da sind. Das Lysin schien also keinen Effekt zu haben. Wirkt eine höhere Dosis Lysin besser als eine niedrigere Dosis? Ergebnisse Insgesamt hatten die Teilnehmenden nicht weniger oft Herpes, egal ob sie hochdosiertes Lysin, niedrigdosiertes Lysin oder ein Placebo einnahmen. Ergebnisse Die Ergebnisse sind uneindeutig und lassen keine sicheren Schlüsse zu: Sowohl die Teilnehmenden der Lysin-Gruppe als auch jene der Placebo-Gruppe hatten nach 6 Monaten weniger häufig Lippenherpes.",unknown,"Die Forschung kommt zu uneindeutigen und widersprüchlichen Ergebnissen. Sämtliche verfügbaren Studien sind klein und von unklarer Qualität. Wir könne nicht sagen, ob Lysin vor Herpes schützt oder diesen lindern kann."
33,Beeinträchtigen hormonelle Verhütungsmittel zum Schlucken (die „Pille“) die Ausdauerleistung von Frauen?,"Das Fazit der Arbeit: Frauen, die die Pille einnehmen, könnten tatsächlich einen geringfügigen Nachteil beim Sport haben. Konkret können Frauen mit Pille während des Trainings möglicherweise weniger Sauerstoff aufnehmen und sind dadurch schneller außer Atem. Möglicherweise eine etwas geringere Leistungsfähigkeit durch die Pille – zu diesem Schluss kam auch eine weitere aktuelle Übersichtsarbeit [2] .",yes,"Die Einnahme der Pille könnte Ausdauerleistung beim Sport möglicherweise etwas beeinträchtigen. Hinweise auf weniger Muskelkraft durch die Pille gibt es aber keine. Diese - etwas widersprüchlichen - Erkenntnisse sind allerdings alles andere als sicher. Ob die etwas verringerte Ausdauerleistung gegen eine Verhütung mit der Pille spricht, muss wohl jede Sportlerin für sich selbst entscheiden – je nachdem wie wichtig sportliche Bestleistung für sie ist."
34,Beeinträchtigt die Pille die Muskelkraft von Frauen??,Hat die Pille auch Auswirkungen auf die Muskelkraft? Auf einen solchen Effekt liefern die verfügbaren Studien keine Hinweise.,no,"Die Einnahme der Pille könnte Ausdauerleistung beim Sport möglicherweise etwas beeinträchtigen. Hinweise auf weniger Muskelkraft durch die Pille gibt es aber keine. Diese - etwas widersprüchlichen - Erkenntnisse sind allerdings alles andere als sicher. Ob die etwas verringerte Ausdauerleistung gegen eine Verhütung mit der Pille spricht, muss wohl jede Sportlerin für sich selbst entscheiden – je nachdem wie wichtig sportliche Bestleistung für sie ist."
35,Verbessert eine Ganzkörper-Kryotherapie in der Kältekammer die Gesundheit?,"Darüber hinaus können sie nicht sicherstellen, dass angebliche Verbesserungen wirklich auf die Kältekammer zurückzuführen sind. Anhand dieser Daten ist es unmöglich zu beurteilen, ob eine Ganzkörper-Kältetherapie bei unterschiedlichen Gesundheitsproblemen wirksam und sinnvoll ist. Die Wirksamkeit der Kältekammer-Behandlung kann jedoch keine der Studien beweisen, denn allen mangelt es an Aussagekraft.",unknown,"Bisher veröffentlichte Studien sind von geringer Qualität und daher nicht aussagekräftig. Weder für körperliche noch für psychische Beschwerden ist die Wirksamkeit der Kältekammer belegt. Auch im Sport gibt es keine Belege für eine Wirksamkeit, etwa bei Muskelkater oder für eine erhoffte Steigerung der sportlichen Leistung."
36,Verbessert die transkranielle Pulsstimulation (TPS) die geistige Leistungsfähigkeit von Menschen mit Alzheimer-Demenz? Kann die Behandlung die Lebensqualität von Betroffenen erhöhen?,"Wir halten die Studienergebnisse deshalb für nicht aussagekräftig. Transkranielle Pulsstimulation: als Alzheimer-Therapie nicht anerkannt  Auch wenn Anbieter der transkraniellen Pulsstimulation anderes behaupten: Als Therapie ist die Behandlung mit Ultraschall bei Demenz weder erforscht noch anerkannt. Denn es gibt derzeit keine Studien, die belegen können, dass sie Menschen mit Demenz kurzfristig oder anhaltend helfen kann. Keine der Studien kann beantworten, ob die transkranielle Pulsstimulation oder ähnliche Verfahren Menschen mit Demenz hilft.",unknown,"Ob die transkranielle Pulsstimulation Menschen mit Alzheimer-Demenz helfen kann, wurde bisher nicht in aussagekräftigen Studien untersucht. Auch mögliche schädliche Auswirkungen sind unzureichend erforscht."
37,Kann die Low-Level-Lasertherapie Schmerzen bei Knie- oder Hüft-Arthrose reduzieren?,"Dem Forschungsteam hinter der Übersichtsarbeit zufolge ist die Studienlage zur Low-Level-Lasertherapie bei Kniearthrosen nicht ausreichend, um die Wirksamkeit zu bestätigen oder auszuschließen. Das war nicht der Fall, die Laserbehandlung konnte die Schmerzen nicht besser lindern als die Placebo-Behandlung.",unknown,"In der Schmerzbehandlung von Handgelenks-Arthrose ist eher von keiner Wirksamkeit auszugehen – darauf deuten die Ergebnisse einer kleinen, aber gut gemachten Studie hin. Forschungsergebnisse zu Knie-Arthrose sind widersprüchlich und daher wenig aussagekräftig. Zu Hüft-Arthrose haben wir keine verlässlichen Studien gefunden."
38,Kann die Low-Level-Lasertherapie Schmerzen bei Handgelenks-Arthrose reduzieren??,"Zur Handgelenks-Arthrose gibt es eine gut gemachte Studie: Sie zeigte keinen Unterschied in der Wirksamkeit zwischen der Low-Level-Lasertherapie und einer Placebo-Behandlung. Das war nicht der Fall, die Laserbehandlung konnte die Schmerzen nicht besser lindern als die Placebo-Behandlung.",no,"In der Schmerzbehandlung von Handgelenks-Arthrose ist eher von keiner Wirksamkeit auszugehen – darauf deuten die Ergebnisse einer kleinen, aber gut gemachten Studie hin. Forschungsergebnisse zu Knie-Arthrose sind widersprüchlich und daher wenig aussagekräftig. Zu Hüft-Arthrose haben wir keine verlässlichen Studien gefunden."
39,"Hat die Blutgruppe Einfluss auf die Wahrscheinlichkeit, dass eine Covid-19-Erkrankung einen schweren Verlauf nimmt oder zum Tod führt?","Hier scheinen die gefundenen Ergebnisse im Widerspruch zum Einfluss der Blutgruppe auf die Sterbewahrscheinlichkeit zu stehen: Die Forschenden fanden keinen Zusammenhang zwischen bestimmten Blutgruppen und der Schwere der Erkrankung. Insgesamt sind die vorhandenen Daten nicht aussagekräftig genug, um einen Zusammenhang zwischen der Blutgruppe und dem Verlauf einer Covid-19-Erkrankung zu belegen oder auszuschließen. Sicher ist, dass niemand aufgrund ihrer oder seiner Blutgruppe vor einem schweren Covid-19-Verlauf geschützt ist. Kein Hinweis auf schweren Verlauf bei bestimmten Blutgruppen  Die Forschenden fanden keinen Hinweis darauf, dass im Fall einer Covid-19-Erkrankung Personen mit einer bestimmten Blutgruppe öfter im Spital oder auf der Intensivstation behandelt werden müssen.",unknown,"Es gibt keine verlässlichen Hinweise darauf, dass Menschen mit einer bestimmten Blutgruppe schwerer an Covid-19 erkranken als mit einer anderen. Studienergebnisse dazu sind schlecht abgesichert und teilweise widersprüchlich."
40,"Schützen Mundspülungen mit Hydroxylapatit, zum Beispiel die Produkte „Linola sept Mundspülung“ und „Karex Abwehr“, vor einer SARS-CoV-2-Infektion?","Bei unserer Suche in drei verschiedenen wissenschaftlichen Datenbanken fanden wir keine Studien, die die vermeintliche Anti-Coronavirus-Wirkung der Mundspülungen „Linola sept“ und „Karex Abwehr“ untersucht haben. Ob die Patientinnen und Patienten deshalb schneller gesund wurden, ist jedoch fraglich, das wurde nicht untersucht. Für die Behauptung, Mundspülungen mit Hydroxylapatit könnten Corona-Infektionen vermeiden, gibt es also keine wissenschaftlichen Anhaltspunkte. Unser Fazit: Wissenschaftliche Hinweise auf eine Wirkung von Mundspülungen gegen Corona-Infektionen fehlen. Wir konnten auch keine Studien finden, die untersucht haben, ob Covid-19-Patientinnen und -Patienten schneller wieder gesund werden, wenn sie mit Hydroxylapatit-Lösungen gurgeln.",unknown,Es gibt keine Studien zur Anti-Corona-Wirkung von Hydroxylapatit-haltigen Mundspülungen wie „Linola sept“ oder „Karex Abwehr“. Wir fanden weder Studien zu den Produkten selbst noch zum angeblichen Wirkstoff Hydroxylapatit. Plausibel ist der behauptete Wirkmechanismus nicht.
41,Lindert CBD (Cannabidiol) die Beschwerden bei einer leichten bis moderaten Covid-19-Erkrankung?,"Wir können zwar nicht mit absoluter Sicherheit sagen, dass CBD bei Covid-19 wirkungslos ist, wir halten das aber für einigermaßen wahrscheinlich. Zudem gibt es aus anderen Studien Hinweise darauf, dass CBD die Infektanfälligkeit möglicherweise sogar erhöhen könnte [4] . Obwohl sie in manchen Medienberichten auftaucht, ist die Meldung schlichtweg falsch, die Forschenden hätten in ihrer Studie eine Anti-Corona-Wirkung von CBD nachgewiesen: Laut dem Forschungsteam hatte CBD in den Versuchen keinen Effekt auf das Coronavirus. Kein Benefit durch CBD  Nach 28 Tagen zog das Studienteam Bilanz: Insgesamt fühlten sich die Teilnehmenden der CBD-Gruppe nicht besser als jene der Placebo-Gruppe.",no,"CBD hat wahrscheinlich keinen Effekt auf die Beschwerden bei einer Covid-19 Erkrankung. Zu diesem Schluss kommt die einzige Studie, die das untersucht hat. Ihre Aussagekraft ist aufgrund der geringen Zahl an Teilnehmenden jedoch etwas eingeschränkt. Nicht erforscht ist ein möglicher vorbeugender Effekt. Es ist unklar, ob CBD oder andere Cannabis-Bestandteile – eingenommen oder geraucht - vor einer Corona-Infektion oder einer Covid-19-Erkrankung schützen."
42,Schützt CBD oder der Konsum von Cannabis vor einer Covid-19 Erkrankung??,"Keine Studien zu CBD als Covid-Schutz  Ob die regelmäßige Einnahme von CBD einer Covid-19 Erkrankung vorbeugen kann, können wir nicht beantworten, das wurde bisher offenbar nicht untersucht. Obwohl sie in manchen Medienberichten auftaucht, ist die Meldung schlichtweg falsch, die Forschenden hätten in ihrer Studie eine Anti-Corona-Wirkung von CBD nachgewiesen: Laut dem Forschungsteam hatte CBD in den Versuchen keinen Effekt auf das Coronavirus. Auch ob die regelmäßige Einnahme von Cannabinoiden wie CBD einer Covid-19-Erkrankung vorbeugen kann, wurde offenbar nicht untersucht.",unknown,"CBD hat wahrscheinlich keinen Effekt auf die Beschwerden bei einer Covid-19 Erkrankung. Zu diesem Schluss kommt die einzige Studie, die das untersucht hat. Ihre Aussagekraft ist aufgrund der geringen Zahl an Teilnehmenden jedoch etwas eingeschränkt. Nicht erforscht ist ein möglicher vorbeugender Effekt. Es ist unklar, ob CBD oder andere Cannabis-Bestandteile – eingenommen oder geraucht - vor einer Corona-Infektion oder einer Covid-19-Erkrankung schützen."
43,Erhöhen Beruhigungs- und Schlafmittel wie Benzodiazepine und verwandte Substanzen das Risiko für Alzheimer oder andere Formen von Demenz?,"Eindeutig zerstreuen lässt sich der Verdacht dadurch jedoch nicht, dass Benzodiazepine und ähnliche Substanzen die Entstehung von Demenz fördern könnten.",unknown,"Ein Zusammenhang zwischen der langfristigen Einnahme von Beruhigungs- und Schlafmitteln und der Entstehung von Demenz lässt sich nicht ausschließen. Ob die Medikamente jedoch die Ursache für die Demenz sind, ist unklar. Genauso ist es möglich, dass Studien nur deshalb einen Zusammenhang zeigen, weil Menschen im unerkannten Frühstadium einer Demenz häufiger an Schlafstörungen oder Unruhe leiden und deshalb öfter Medikamente dagegen einnehmen."
44,"Verringert die Einnahme von mehrfach ungesättigten Fettsäuren, wie etwa Omega-3 und Omega-6, die Symptome von ADHS bei Kindern?","Insgesamt scheinen die Präparate Kinder mit ADHS nicht ruhiger und konzentrierter zu machen. Egal ob Omega-Fettsäuren-Präparate oder Placebo, alle Kinder zeigten ähnlich starke ADHS-Symptome. Bei genauer Betrachtung zeigt sich: Die am besten durchgeführten, verblindeten Studien zeigen keinen oder sogar einen negativen Effekt der Omega-Fettsäuren-Präparate auf das Verhalten der teilnehmenden Kinder.",no,"Bisherige Studien deuten an, dass Präparate mit mehrfach ungesättigten Fettsäuren (zum Beispiel Omega-3- und Omega-6-Fettsäuren) eher keinen merklichen Einfluss auf das Aufmerksamkeitsdefizit-Hyperaktivitäts-Syndrom (ADHS) haben. Die Qualität der Studien reicht jedoch nicht aus, um definitive Antworten zu liefern."
45,Lindern Infusionen mit Vitamin C die Beschwerden bei chronischer Erschöpfung (Fatigue) oder Long Covid?,"Auch ob Menschen mit Long Covid von Vitamin-C-Infusionen profitieren, ist unklar. Da die Entstehungsmechanismen sowohl vom chronischen Erschöpfungssyndrom als auch von Long Covid unklar sind, können Studien mit Krebspatientinnen und -patienten oder gesunden Teilnehmenden keine Antworten auf die Frage liefern, ob Vitamin C Menschen mit chronischem Erschöpfungssyndrom oder Long Covid helfen können.",unknown,"Ob Vitamin-C-Infusionen bei chronischer Erschöpfung (Chronisches Fatigue Syndrom, CFS) helfen, ist fraglich. Wissenschaftlich untersucht wurde das bisher nicht. Auch zu Vitamin C und die im Rahmen von Long Covid auftretende Erschöpfung konnten wir keine einzige Studie finden."
46,Verkürzt die Einnahme von Probiotika die Dauer von akutem infektiösem Durchfall?,"Demnach hat zumindest bei Kindern die Einnahme von lebenden Probiotika wahrscheinlich keinen Einfluss darauf, ob diese nach 48 Stunden noch krank sind. Demnach hat ein Probiotikum offenbar keinen klaren Einfluss auf das Abklingen der Erkrankung.",no,Laut aktueller Studienlage lässt sich die Krankheitsdauer durch die Einnahme von Probiotika nicht reduzieren. Diese Einschätzung ist einigermaßen gut abgesichert.
47,Bremst hoch dosiertes Vitamin D den Krankheitsverlauf bei Multipler Sklerose (MS)?,"Studien zu Vitamin D bei MS  Wir haben uns deshalb auf die Suche nach aussagekräftigen Studien zur Hochdosis-Behandlung mit Vitamin D bei Multipler Sklerose gemacht. Derzeit können wir also nicht sicher sagen, ob hoch dosiertes Vitamin D bei MS tatsächlich Vorteile bringt. Die bisherigen Daten sprechen allerdings dafür, dass eine Wirkung, falls überhaupt vorhanden, eher klein wäre.",unknown,"Wir können weder eindeutig ausschließen noch bestätigen, dass es einen Effekt gibt. In insgesamt 15 Studien ließ sich für hoch dosiertes Vitamin D bei Erwachsenen mit multipler Sklerose kein Nutzen nachweisen. Weil die Studien viele Schwächen hatten, können wir daraus keine Schlussfolgerungen zu positiven oder negativen Effekten ziehen."
48,Stärkt die Einnahme von Taigawurzel-Extrakt das Immunsystem? Kann sie Impfungen wirksamer oder verträglicher machen?,"Taigawurzel und Immunabwehr: Aussagekräftige Studien fehlen  Bei unserer umfangreichen Recherche haben wir keine Studien gefunden, die eine Immunsystem-stärkende Wirkung der Taigawurzel belegen können. Taigawurzel und Immunabwehr: Aussagekräftige Studien fehlen  Bei unserer umfangreichen Recherche haben wir keine Studien gefunden, die eine Immunsystem-stärkende Wirkung der Taigawurzel belegen können. Für verlässliche Ergebnisse waren die Studien jedoch zu klein und zu mangelhaft durchgeführt. Ob die Einnahme von Taigawurzel-Extrakt gar Impfungen wirksamer machen könnte, dazu geben die beiden verfügbaren Studien ebenfalls keine Auskunft.",unknown,Die angebliche Immunabwehr-stärkenden Wirkung der Taigawurzel (auch Sibirischer Ginseng genannt) wurde offenbar nie in geeigneten Studien untersucht. Auch die von Nahrungsergänzungsmittel-Herstellern behauptete positive Wirkung nach Impfungen ist nicht belegt.
49,"Kann eine Ozontherapie, bei der Eigenblut mit Ozon behandelt und zurückgeführt wird, den Verlauf einer COVID-19-Erkrankung günstig beeinflussen?","Sie finden keine Unterschiede zwischen einer Standardbehandlung und einer zusätzlichen Ozontherapie – weder was das Fortschreiten der Covid-19-Erkrankung noch das Sterberisiko angeht. Ein Vorteil für die Ozontherapie ergab sich dabei nicht, für keinen der Vergleiche zeigte sich ein klarer Unterschied: weder für das Risiko, an Covid-19 zu versterben, noch für den Krankheitsverlauf [5] . Somit wurde auch hier nicht der alleinige Effekt von Eigenblut-Ozontherapie erhoben.",unknown,Die wenigen Studien dazu haben grobe Mängel und sind daher nicht aussagekräftig. Ihre Ergebnisse geben keine Hinweise auf eine Wirksamkeit der Ozontherapie.
